Beløb;Valuta;Dato;Afsenders konto;Tekst;Modtagers navn;Modtagers konto;Betalingstype;Status
1;DKK;01.01.2020;NOT_VIRTUAL_ACCOUNT;Proper abc;PROPER APS;0000 12345678;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;DKK;01.01.2020;Payments, virtuel;Proper def;PROPER APS;FAKE_REG FAKE_ACCOUNT;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;DKK;01.01.2020;Payments, virtuel;Proper fees def;PROPER APS;0000 12345678;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;DKK;01.01.2020;Payments, virtuel;Proper fees ???;PROPER APS;3001 0012787812;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;DKK;01.01.2020;Payments, virtuel;Proper ghi;PROPER APS;3001 0012913478;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;EUR;01.01.2020;Payments, virtual EUR;Proper jkl;PROPER APS;0000 12345678;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;DKK;01.01.2020;Payments, virtual EUR;Proper fees jkl;PROPER APS;3000 3002108623;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;DKK;01.01.2020;Payments, virtuel;Proper mno;PROPER APS;0000 12345678;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;EUR;01.01.2020;Payments, virtuel;Proper fees mno;PROPER APS;3001 0012787812;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
1;DKK;01.01.2020;Payments, virtuel;Proper pqr;Payout to Proper operations account should not be allowed;3001 0012787812;Kontooverførsel - Standard;Betalingen kan ikke gennemføres, førend den er blevet 2. godkendt
